City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
383,panguipulli,75,CL,1547611200,100,-39.64,-72.33,55.4,2.24
384,panacan,75,PH,1547611200,74,7.15,125.66,82.4,11.41
385,makakilo city,90,US,1547611020,53,21.35,-158.09,78.98,8.05
386,sitka,0,US,1547613457,70,37.17,-99.65,26.37,2.73
387,bay roberts,90,CA,1547611200,92,47.58,-53.28,28.4,38.03
388,ramhormoz,75,IR,1547611200,77,31.28,49.6,62.6,9.17
389,karak,24,JO,1547611200,69,31.18,35.7,35.6,9.17
390,tabou,12,CI,1547613717,100,4.42,-7.36,82.71,9.66
391,gonzales,90,US,1547613000,93,36.51,-121.44,55.94,6.93
392,egvekinot,64,RU,1547613669,98,66.32,-179.17,-1.35,2.95
393,doha,0,QA,1547611200,88,25.29,51.53,68.0,8.05
394,verkhnevilyuysk,0,RU,1547613919,0,63.45,120.31,-41.31,4.52
395,xiaolan,75,CN,1547611200,63,22.67,113.23,62.6,13.42
396,natitingou,20,BJ,1547613920,31,10.31,1.38,62.82,6.64
397,norsup,56,VU,1547613920,100,-16.07,167.38,79.83,3.96
398,acapulco,5,MX,1547610240,88,16.86,-99.88,75.2,4.7
399,seymchan,12,RU,1547613921,0,62.93,152.39,-40.95,2.51
400,ngunguru,0,NZ,1547613921,86,-35.62,174.5,72.09,21.52
401,mahina,0,ML,1547613922,65,13.76,-10.85,62.19,2.62
402,coos bay,90,US,1547610960,76,43.37,-124.22,46.94,6.93
403,mayaky,68,UA,1547613922,66,47.44,29.56,14.49,7.2
404,tucuman,80,PE,1547613922,86,-17.17,-70.89,58.14,1.61
405,quelimane,75,MZ,1547611200,94,-17.88,36.89,77.0,4.7
406,suhbaatar,0,MN,1547613923,65,50.23,106.21,9.27,4.18
407,clarence town,0,AU,1547611200,46,-32.59,151.78,93.2,10.29
408,puerto colombia,20,CO,1547611200,78,10.99,-74.96,78.8,18.34
409,veraval,90,FR,1547611200,80,49.65,0.71,42.8,8.05
410,mahon,75,IE,1547613000,93,51.89,-8.4,41.0,8.05
411,hofn,0,IS,1547613573,100,64.25,-15.21,33.39,27.11
412,camopi,92,GF,1547613590,99,3.17,-52.33,73.62,2.39
413,ankazoabo,44,MG,1547613925,84,-22.29,44.51,80.19,7.76
414,requena,0,ES,1547611200,100,39.49,-1.1,37.4,2.62
415,portobelo,20,PA,1547611200,73,9.55,-79.65,77.0,2.24
